crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	30.939976	10730	0.000000
281474976710655.000000	25.365761	10731	0.000000
281474976710655.000000	28.945070	10732	0.000000
281474976710655.000000	22.985001	10733	0.000000
281474976710655.000000	22.710203	10734	0.000000
281474976710655.000000	34.509590	10735	0.000000
281474976710655.000000	25.763538	10736	0.000000
281474976710655.000000	26.014160	10737	0.000000
281474976710655.000000	28.595076	10738	0.000000
281474976710655.000000	28.957546	10739	0.000000
281474976710655.000000	25.571728	10740	0.000000
281474976710655.000000	29.546124	10741	0.000000
281474976710655.000000	23.101767	10742	0.000000
281474976710655.000000	24.877533	10743	0.000000
281474976710655.000000	27.958483	10744	0.000000
281474976710655.000000	24.875000	10745	0.000000
281474976710655.000000	28.834393	10746	0.000000
281474976710655.000000	27.611952	10747	0.000000
281474976710655.000000	26.758900	10748	0.000000
281474976710655.000000	23.753786	10749	0.000000
281474976710655.000000	26.162750	10750	0.000000
281474976710655.000000	28.327110	10751	0.000000
281474976710655.000000	25.380465	10752	0.000000
281474976710655.000000	22.790102	10753	0.000000
281474976710655.000000	26.795042	10754	0.000000
281474976710655.000000	24.439882	10755	0.000000
281474976710655.000000	26.800859	10756	0.000000
281474976710655.000000	24.904093	10757	0.000000
281474976710655.000000	26.265364	10758	0.000000
281474976710655.000000	26.066795	10759	0.000000
281474976710655.000000	23.018129	10760	0.000000
281474976710655.000000	23.048512	10761	0.000000
281474976710655.000000	27.459190	10762	0.000000
281474976710655.000000	22.460512	10763	0.000000
281474976710655.000000	30.834230	10764	0.000000
281474976710655.000000	23.926676	10765	0.000000
281474976710655.000000	25.428820	10766	0.000000
281474976710655.000000	23.120657	10767	0.000000
281474976710655.000000	24.318270	10768	0.000000
281474976710655.000000	27.356033	10769	0.000000
281474976710655.000000	24.169561	10770	0.000000
281474976710655.000000	24.662035	10771	0.000000
281474976710655.000000	24.123203	10772	0.000000
281474976710655.000000	23.597219	10773	0.000000
281474976710655.000000	24.018507	10774	0.000000
281474976710655.000000	27.203213	10775	0.000000
281474976710655.000000	24.622280	10776	0.000000
281474976710655.000000	26.424820	10777	0.000000
281474976710655.000000	25.674519	10778	0.000000
281474976710655.000000	24.880381	10779	0.000000
281474976710655.000000	23.046175	10780	0.000000
281474976710655.000000	23.601110	10781	0.000000
281474976710655.000000	21.435755	10782	0.000000
281474976710655.000000	21.477430	10783	0.000000
281474976710655.000000	23.109875	10784	0.000000
281474976710655.000000	22.345518	10785	0.000000
281474976710655.000000	26.340097	10786	0.000000
281474976710655.000000	22.932951	10787	0.000000
281474976710655.000000	25.001087	10788	0.000000
281474976710655.000000	21.876411	10789	0.000000
281474976710655.000000	23.187223	10790	0.000000
281474976710655.000000	25.102083	10791	0.000000
281474976710655.000000	24.524832	10792	0.000000
281474976710655.000000	24.365995	10793	0.000000
281474976710655.000000	22.535812	10794	0.000000
281474976710655.000000	26.404457	10795	0.000000
281474976710655.000000	23.336241	10796	0.000000
281474976710655.000000	24.427809	10797	0.000000
281474976710655.000000	23.569244	10798	0.000000
281474976710655.000000	23.673376	10799	0.000000
281474976710655.000000	22.774818	10800	0.000000
